date,users,new_users,average_engagement_time,total_revenue,active_trending_user_30days,active_trending_user_7days,active_trending_user_1day
2023-01-01,0,0,0.0,0,1224,3,0
2023-01-02,0,0,0.0,0,1224,3,0
2023-01-03,0,0,0.0,0,1224,1,0
2023-01-04,1,0,0.0,0,1224,1,1
2023-01-05,0,0,0.0,0,1224,1,0
2023-01-06,0,0,0.0,0,1224,1,0
2023-01-07,0,0,0.0,0,1224,1,0
2023-01-08,1,0,15.0,0,1224,2,1
2023-01-09,1,0,0.0,0,1224,2,1
2023-01-10,0,0,0.0,0,1224,2,0
2023-01-11,0,0,0.0,0,1224,1,0
2023-01-12,0,0,0.0,0,1159,1,0
2023-01-13,0,0,0.0,0,1127,1,0
2023-01-14,0,0,0.0,0,981,1,0
2023-01-15,0,0,0.0,0,800,1,0
2023-01-16,0,0,0.0,0,569,0,0
2023-01-17,0,0,0.0,0,429,0,0
2023-01-18,0,0,0.0,0,297,0,0
2023-01-19,0,0,0.0,0,168,0,0
2023-01-20,0,0,0.0,0,81,0,0
2023-01-21,0,0,0.0,0,4,0,0
2023-01-22,0,0,0.0,0,4,0,0
2023-01-23,0,0,0.0,0,4,0,0
2023-01-24,0,0,0.0,0,4,0,0
2023-01-25,0,0,0.0,0,4,0,0
2023-01-26,0,0,0.0,0,2,0,0
2023-01-27,0,0,0.0,0,2,0,0
2023-01-28,0,0,0.0,0,2,0,0
2023-01-29,0,0,0.0,0,2,0,0
2023-01-30,0,0,0.0,0,2,0,0
2023-01-31,0,0,0.0,0,2,0,0
2023-02-01,0,0,0.0,0,2,0,0
2023-02-02,0,0,0.0,0,2,0,0
2023-02-03,0,0,0.0,0,1,0,0
2023-02-04,0,0,0.0,0,1,0,0
2023-02-05,0,0,0.0,0,1,0,0
2023-02-06,0,0,0.0,0,1,0,0
2023-02-07,0,0,0.0,0,1,0,0
2023-02-08,0,0,0.0,0,0,0,0
2023-02-09,0,0,0.0,0,0,0,0
2023-02-10,0,0,0.0,0,0,0,0
2023-02-11,0,0,0.0,0,0,0,0
2023-02-12,0,0,0.0,0,0,0,0
